image_id,track_id,candidate_id,confidence,track_length,frame_index,opus_id,image_number,time,x,y,brightness,blob_size,artifact_score,area_px,peak_snr,mean_snr,integrated_snr,sharpness,elongation,flags,reason
N1357331473,T0184,1357331473-0092,0.7747,3,8,co-iss-n1357331473,1357331473,2001-01-04T20:19:00.435,72.99,227.50,12.99,6,0.00,6,12.99,12.85,77.11,1.01,1.63,,"3 frame(s); median area 8.0 px; net motion dx=125.7, dy=6.9; flags: none"
N1357331863,T0184,1357331863-0127,0.7747,3,9,co-iss-n1357331863,1357331863,2001-01-04T20:25:30.433,132.08,200.18,14.99,8,0.00,8,14.99,14.27,114.15,1.05,2.60,,"3 frame(s); median area 8.0 px; net motion dx=125.7, dy=6.9; flags: none"
N1357332223,T0184,1357332223-0082,0.7747,3,10,co-iss-n1357332223,1357332223,2001-01-04T20:31:30.430,198.71,234.45,13.29,8,0.00,8,13.29,12.09,96.70,1.10,1.66,,"3 frame(s); median area 8.0 px; net motion dx=125.7, dy=6.9; flags: none"
N1357313585,T0013,1357313585-0047,0.7458,3,0,co-iss-n1357313585,1357313585,2001-01-04T15:20:52.559,630.50,130.50,12.84,6,0.00,6,12.84,12.77,76.64,1.01,4.60,,"3 frame(s); median area 7.0 px; net motion dx=86.9, dy=-113.2; flags: none"
N1357313975,T0013,1357313975-0034,0.7458,3,1,co-iss-n1357313975,1357313975,2001-01-04T15:27:22.557,684.05,89.98,13.55,7,0.00,7,13.55,13.20,92.37,1.03,4.39,,"3 frame(s); median area 7.0 px; net motion dx=86.9, dy=-113.2; flags: none"
N1357314335,T0013,1357314335-0009,0.7458,3,2,co-iss-n1357314335,1357314335,2001-01-04T15:33:22.554,717.44,17.25,13.36,10,0.00,10,13.36,12.62,126.22,1.06,2.15,,"3 frame(s); median area 7.0 px; net motion dx=86.9, dy=-113.2; flags: none"
N1357335945,T0275,1357335945-0073,0.7266,3,11,co-iss-n1357335945,1357335945,2001-01-04T21:33:32.404,543.04,179.00,11.96,7,0.00,7,11.96,11.08,77.59,1.08,4.39,,"3 frame(s); median area 7.0 px; net motion dx=-6.7, dy=27.3; flags: none"
N1357336335,T0275,1357336335-0085,0.7266,3,12,co-iss-n1357336335,1357336335,2001-01-04T21:40:02.402,578.56,185.66,11.96,7,0.00,7,11.96,10.90,76.30,1.10,2.18,,"3 frame(s); median area 7.0 px; net motion dx=-6.7, dy=27.3; flags: none"
N1357336695,T0275,1357336695-0065,0.7266,3,13,co-iss-n1357336695,1357336695,2001-01-04T21:46:02.399,536.38,206.33,11.31,3,0.00,3,11.31,9.89,29.67,1.14,1.73,,"3 frame(s); median area 7.0 px; net motion dx=-6.7, dy=27.3; flags: none"
N1357335945,T0269,1357335945-0057,0.6781,3,11,co-iss-n1357335945,1357335945,2001-01-04T21:33:32.404,487.57,141.03,12.03,4,0.00,4,12.03,9.61,38.45,1.25,2.62,,"3 frame(s); median area 4.0 px; net motion dx=-73.8, dy=-87.3; flags: none"
