image_id,track_id,candidate_id,confidence,track_length,frame_index,opus_id,image_number,time,x,y,brightness,blob_size,artifact_score,area_px,peak_snr,mean_snr,integrated_snr,sharpness,elongation,flags,reason
N1357685116,T4868,1357685116-1026,0.7347,3,49,co-iss-n1357685116,1357685116,2001-01-08T22:32:25.006,470.27,997.95,9.45,11,0.00,11,9.45,8.16,89.74,1.16,1.33,,"3 frame(s); median area 8.0 px; net motion dx=-6.8, dy=-43.0; flags: none"
N1357685285,T4868,1357685285-0852,0.7347,3,50,co-iss-n1357685285,1357685285,2001-01-08T22:34:42.013,484.71,978.67,11.15,3,0.00,3,11.15,9.78,29.33,1.14,1.73,,"3 frame(s); median area 8.0 px; net motion dx=-6.8, dy=-43.0; flags: none"
N1357685794,T4868,1357685794-0188,0.7347,3,51,co-iss-n1357685794,1357685794,2001-01-08T22:44:19.032,463.50,954.99,9.00,8,0.00,8,9.00,8.32,66.54,1.08,4.12,,"3 frame(s); median area 8.0 px; net motion dx=-6.8, dy=-43.0; flags: none"
N1357646415,T1412,1357646415-0085,0.7304,3,14,co-iss-n1357646415,1357646415,2001-01-08T11:47:24.274,730.83,519.31,19.03,8,0.00,8,19.03,11.19,89.52,1.70,4.47,,"3 frame(s); median area 3.0 px; net motion dx=7.7, dy=151.0; flags: none"
N1357646584,T1412,1357646584-0106,0.7304,3,15,co-iss-n1357646584,1357646584,2001-01-08T11:49:41.281,724.64,593.14,38.19,3,0.00,3,38.19,19.91,59.74,1.92,1.73,,"3 frame(s); median area 3.0 px; net motion dx=7.7, dy=151.0; flags: none"
N1357647093,T1412,1357647093-0087,0.7304,3,16,co-iss-n1357647093,1357647093,2001-01-08T11:59:18.300,738.51,670.33,27.28,3,0.00,3,27.28,17.92,53.76,1.52,1.73,,"3 frame(s); median area 3.0 px; net motion dx=7.7, dy=151.0; flags: none"
N1357664415,T2932,1357664415-0041,0.7231,3,30,co-iss-n1357664415,1357664415,2001-01-08T16:47:24.149,218.80,302.63,71.78,3,0.00,3,71.78,38.24,114.72,1.88,1.73,,"3 frame(s); median area 4.0 px; net motion dx=10.7, dy=7.9; flags: none"
N1357664584,T2932,1357664584-0048,0.7231,3,31,co-iss-n1357664584,1357664584,2001-01-08T16:49:41.156,261.89,321.71,35.70,4,0.00,4,35.70,16.95,67.82,2.11,2.45,,"3 frame(s); median area 4.0 px; net motion dx=10.7, dy=7.9; flags: none"
N1357665093,T2932,1357665093-0027,0.7231,3,32,co-iss-n1357665093,1357665093,2001-01-08T16:59:18.176,229.45,310.55,12.78,4,0.00,4,12.78,9.44,37.77,1.35,5.83,,"3 frame(s); median area 4.0 px; net motion dx=10.7, dy=7.9; flags: none"
N1357664415,T2936,1357664415-0114,0.7197,3,30,co-iss-n1357664415,1357664415,2001-01-08T16:47:24.149,496.61,627.12,9.83,7,0.00,7,9.83,8.54,59.78,1.15,1.69,,"3 frame(s); median area 6.0 px; net motion dx=9.5, dy=14.9; flags: none"
N1357664584,T2936,1357664584-0139,0.7197,3,31,co-iss-n1357664584,1357664584,2001-01-08T16:49:41.156,527.04,617.20,9.05,5,0.00,5,9.05,8.22,41.11,1.10,5.21,,"3 frame(s); median area 6.0 px; net motion dx=9.5, dy=14.9; flags: none"
N1357665093,T2936,1357665093-0073,0.7197,3,32,co-iss-n1357665093,1357665093,2001-01-08T16:59:18.176,506.13,642.04,11.81,6,0.00,6,11.81,8.66,51.98,1.36,1.77,,"3 frame(s); median area 6.0 px; net motion dx=9.5, dy=14.9; flags: none"
