image_id,track_id,candidate_id,confidence,track_length,frame_index,opus_id,image_number,time,x,y,brightness,blob_size,artifact_score,area_px,peak_snr,mean_snr,integrated_snr,sharpness,elongation,flags,reason
N1357373974,T0351,1357373974-0127,0.7436,3,16,co-iss-n1357373974,1357373974,2001-01-05T08:07:21.141,537.77,281.77,10.09,8,0.00,8,10.09,9.44,75.56,1.07,4.28,,"3 frame(s); median area 7.0 px; net motion dx=68.9, dy=53.6; flags: none"
N1357374364,T0351,1357374364-0144,0.7436,3,17,co-iss-n1357374364,1357374364,2001-01-05T08:13:51.138,600.76,272.50,9.53,7,0.15,7,9.53,9.24,64.65,1.03,6.64,,"3 frame(s); median area 7.0 px; net motion dx=68.9, dy=53.6; flags: none"
N1357374724,T0351,1357374724-0119,0.7436,3,18,co-iss-n1357374724,1357374724,2001-01-05T08:19:51.136,606.65,335.35,8.15,3,0.00,3,8.15,7.81,23.42,1.04,1.73,,"3 frame(s); median area 7.0 px; net motion dx=68.9, dy=53.6; flags: none"
N1357344889,T0004,1357344889-0037,0.7309,3,0,co-iss-n1357344889,1357344889,2001-01-05T00:02:36.342,800.62,81.35,12.82,3,0.00,3,12.82,11.34,34.02,1.13,1.73,,"3 frame(s); median area 6.0 px; net motion dx=-31.5, dy=-58.1; flags: none"
N1357345279,T0004,1357345279-0013,0.7309,3,1,co-iss-n1357345279,1357345279,2001-01-05T00:09:06.340,841.50,26.01,12.48,6,0.00,6,12.48,12.38,74.25,1.01,1.63,,"3 frame(s); median area 6.0 px; net motion dx=-31.5, dy=-58.1; flags: none"
N1357345639,T0004,1357345639-0008,0.7309,3,2,co-iss-n1357345639,1357345639,2001-01-05T00:15:06.337,769.10,23.21,12.09,10,0.00,10,12.09,9.73,97.31,1.24,4.85,,"3 frame(s); median area 6.0 px; net motion dx=-31.5, dy=-58.1; flags: none"
N1357369502,T0273,1357369502-0028,0.7174,3,13,co-iss-n1357369502,1357369502,2001-01-05T06:52:49.172,323.55,80.62,14.40,20,0.00,20,14.40,12.79,255.81,1.13,2.48,,"3 frame(s); median area 5.0 px; net motion dx=-15.8, dy=-54.6; flags: none"
N1357369892,T0273,1357369892-0029,0.7174,3,14,co-iss-n1357369892,1357369892,2001-01-05T06:59:19.169,301.54,58.78,15.81,5,0.00,5,15.81,11.98,59.90,1.32,2.62,,"3 frame(s); median area 5.0 px; net motion dx=-15.8, dy=-54.6; flags: none"
N1357370252,T0273,1357370252-0007,0.7174,3,15,co-iss-n1357370252,1357370252,2001-01-05T07:05:19.167,307.70,25.97,14.85,4,0.00,4,14.85,11.50,45.99,1.29,3.60,,"3 frame(s); median area 5.0 px; net motion dx=-15.8, dy=-54.6; flags: none"
N1357344889,T0020,1357344889-0154,0.7121,3,0,co-iss-n1357344889,1357344889,2001-01-05T00:02:36.342,717.86,331.70,8.45,13,0.00,13,8.45,8.20,106.55,1.03,5.75,,"3 frame(s); median area 13.0 px; net motion dx=-4.6, dy=-88.6; flags: none"
