image_id,track_id,candidate_id,confidence,track_length,frame_index,opus_id,image_number,time,x,y,brightness,blob_size,artifact_score,area_px,peak_snr,mean_snr,integrated_snr,sharpness,elongation,flags,reason
N1357781496,T0038,1357781496-0005,0.7406,3,3,co-iss-n1357781496,1357781496,2001-01-10T01:18:44.319,829.11,10.00,9.44,8,0.00,8,9.44,9.21,73.68,1.03,1.17,,"3 frame(s); median area 8.0 px; net motion dx=18.9, dy=24.3; flags: none"
N1357781886,T0038,1357781886-0039,0.7406,3,4,co-iss-n1357781886,1357781886,2001-01-10T01:25:14.316,815.41,62.05,11.13,9,0.00,9,11.13,10.23,92.07,1.09,4.20,,"3 frame(s); median area 8.0 px; net motion dx=18.9, dy=24.3; flags: none"
N1357782246,T0038,1357782246-0022,0.7406,3,5,co-iss-n1357782246,1357782246,2001-01-10T01:31:14.314,848.00,34.33,8.83,3,0.00,3,8.83,8.82,26.46,1.00,4.39,,"3 frame(s); median area 8.0 px; net motion dx=18.9, dy=24.3; flags: none"
N1357806108,T0270,1357806108-0083,0.7036,3,18,co-iss-n1357806108,1357806108,2001-01-10T08:08:56.148,478.00,123.39,9.18,8,0.00,8,9.18,8.91,71.27,1.03,2.53,,"3 frame(s); median area 5.0 px; net motion dx=-73.6, dy=-86.6; flags: none"
N1357806498,T0270,1357806498-0052,0.7036,3,19,co-iss-n1357806498,1357806498,2001-01-10T08:15:26.146,457.40,69.00,12.36,5,0.15,5,12.36,12.32,61.60,1.00,6.31,,"3 frame(s); median area 5.0 px; net motion dx=-73.6, dy=-86.6; flags: none"
N1357806858,T0270,1357806858-0037,0.7036,3,20,co-iss-n1357806858,1357806858,2001-01-10T08:21:26.143,404.35,36.83,16.32,5,0.00,5,16.32,13.00,65.01,1.25,3.52,,"3 frame(s); median area 5.0 px; net motion dx=-73.6, dy=-86.6; flags: none"
N1357806108,T0264,1357806108-0044,0.6962,3,18,co-iss-n1357806108,1357806108,2001-01-10T08:08:56.148,730.58,68.00,9.73,7,0.00,7,9.73,9.38,65.66,1.04,4.49,,"3 frame(s); median area 6.0 px; net motion dx=61.8, dy=-9.6; flags: none"
N1357806498,T0264,1357806498-0053,0.6962,3,19,co-iss-n1357806498,1357806498,2001-01-10T08:15:26.146,757.69,67.95,11.48,3,0.00,3,11.48,10.87,32.61,1.06,4.39,,"3 frame(s); median area 6.0 px; net motion dx=61.8, dy=-9.6; flags: none"
N1357806858,T0264,1357806858-0051,0.6962,3,20,co-iss-n1357806858,1357806858,2001-01-10T08:21:26.143,792.40,58.40,41.11,6,0.00,6,41.11,24.07,144.45,1.71,2.03,,"3 frame(s); median area 6.0 px; net motion dx=61.8, dy=-9.6; flags: none"
N1357810580,T0346,1357810580-0128,0.6726,3,21,co-iss-n1357810580,1357810580,2001-01-10T09:23:28.118,237.80,150.80,8.65,5,0.00,5,8.65,8.61,43.05,1.00,3.52,,"3 frame(s); median area 5.0 px; net motion dx=-56.3, dy=-69.4; flags: none"
N1357810970,T0346,1357810970-0073,0.6726,3,22,co-iss-n1357810970,1357810970,2001-01-10T09:29:58.115,230.33,109.67,12.06,3,0.00,3,12.06,12.04,36.13,1.00,1.73,,"3 frame(s); median area 5.0 px; net motion dx=-56.3, dy=-69.4; flags: none"
N1357811330,T0346,1357811330-0061,0.6726,3,23,co-iss-n1357811330,1357811330,2001-01-10T09:35:58.112,181.47,81.38,47.44,5,0.00,5,47.44,30.33,151.66,1.56,1.73,,"3 frame(s); median area 5.0 px; net motion dx=-56.3, dy=-69.4; flags: none"
N1357806108,T0268,1357806108-0079,0.6684,3,18,co-iss-n1357806108,1357806108,2001-01-10T08:08:56.148,824.00,120.33,8.63,3,0.00,3,8.63,8.63,25.90,1.00,4.39,,"3 frame(s); median area 4.0 px; net motion dx=66.0, dy=14.2; flags: none"
N1357806498,T0268,1357806498-0093,0.6684,3,19,co-iss-n1357806498,1357806498,2001-01-10T08:15:26.146,856.50,132.00,9.89,4,0.00,4,9.89,9.87,39.49,1.00,2.62,,"3 frame(s); median area 4.0 px; net motion dx=66.0, dy=14.2; flags: none"
N1357806858,T0268,1357806858-0122,0.6684,3,20,co-iss-n1357806858,1357806858,2001-01-10T08:21:26.143,890.01,134.52,29.66,4,0.00,4,29.66,23.64,94.55,1.25,2.62,,"3 frame(s); median area 4.0 px; net motion dx=66.0, dy=14.2; flags: none"
N1357806108,T0278,1357806108-0111,0.6671,3,18,co-iss-n1357806108,1357806108,2001-01-10T08:08:56.148,343.25,155.00,8.59,4,0.00,4,8.59,8.57,34.30,1.00,3.60,,"3 frame(s); median area 4.0 px; net motion dx=67.5, dy=-56.5; flags: none"
N1357806498,T0278,1357806498-0079,0.6671,3,19,co-iss-n1357806498,1357806498,2001-01-10T08:15:26.146,360.14,111.84,11.65,7,0.00,7,11.65,10.39,72.75,1.12,2.29,,"3 frame(s); median area 4.0 px; net motion dx=67.5, dy=-56.5; flags: none"
N1357806858,T0278,1357806858-0099,0.6671,3,20,co-iss-n1357806858,1357806858,2001-01-10T08:21:26.143,410.80,98.52,20.78,3,0.00,3,20.78,13.27,39.80,1.57,1.73,,"3 frame(s); median area 4.0 px; net motion dx=67.5, dy=-56.5; flags: none"
N1357790440,T0139,1357790440-0018,0.6661,3,9,co-iss-n1357790440,1357790440,2001-01-10T03:47:48.257,731.45,28.49,9.96,4,0.00,4,9.96,8.96,35.85,1.11,1.00,,"3 frame(s); median area 4.0 px; net motion dx=-158.9, dy=12.6; flags: none"
N1357790830,T0139,1357790830-0008,0.6661,3,10,co-iss-n1357790830,1357790830,2001-01-10T03:54:18.254,648.75,19.46,11.52,8,0.15,8,11.52,10.04,80.30,1.15,6.19,,"3 frame(s); median area 4.0 px; net motion dx=-158.9, dy=12.6; flags: none"
N1357791190,T0139,1357791190-0021,0.6661,3,11,co-iss-n1357791190,1357791190,2001-01-10T04:00:18.252,572.52,41.04,9.65,4,0.00,4,9.65,9.28,37.12,1.04,2.62,,"3 frame(s); median area 4.0 px; net motion dx=-158.9, dy=12.6; flags: none"
N1357790440,T0137,1357790440-0002,0.6629,3,9,co-iss-n1357790440,1357790440,2001-01-10T03:47:48.257,147.00,8.33,9.82,3,0.00,3,9.82,9.79,29.38,1.00,4.39,,"3 frame(s); median area 4.0 px; net motion dx=-58.8, dy=22.3; flags: none"
N1357790830,T0137,1357790830-0044,0.6629,3,10,co-iss-n1357790830,1357790830,2001-01-10T03:54:18.254,129.57,69.70,12.72,4,0.00,4,12.72,11.07,44.27,1.15,5.83,,"3 frame(s); median area 4.0 px; net motion dx=-58.8, dy=22.3; flags: none"
N1357791190,T0137,1357791190-0012,0.6629,3,11,co-iss-n1357791190,1357791190,2001-01-10T04:00:18.252,88.21,30.59,10.77,5,0.00,5,10.77,10.38,51.91,1.04,2.41,,"3 frame(s); median area 4.0 px; net motion dx=-58.8, dy=22.3; flags: none"
N1357790440,T0142,1357790440-0041,0.6620,3,9,co-iss-n1357790440,1357790440,2001-01-10T03:47:48.257,378.60,56.68,10.18,3,0.00,3,10.18,8.59,25.77,1.19,1.73,,"3 frame(s); median area 4.0 px; net motion dx=-56.1, dy=31.3; flags: none"
N1357790830,T0142,1357790830-0029,0.6620,3,10,co-iss-n1357790830,1357790830,2001-01-10T03:54:18.254,337.69,53.86,12.66,6,0.00,6,12.66,12.04,72.26,1.05,2.99,,"3 frame(s); median area 4.0 px; net motion dx=-56.1, dy=31.3; flags: none"
N1357791190,T0142,1357791190-0050,0.6620,3,11,co-iss-n1357791190,1357791190,2001-01-10T04:00:18.252,322.50,88.00,9.74,4,0.15,4,9.74,9.73,38.93,1.00,6.85,,"3 frame(s); median area 4.0 px; net motion dx=-56.1, dy=31.3; flags: none"
N1357781496,T0049,1357781496-0130,0.6585,3,3,co-iss-n1357781496,1357781496,2001-01-10T01:18:44.319,486.51,154.92,8.67,11,0.00,11,8.67,8.52,93.69,1.02,5.68,,"3 frame(s); median area 4.0 px; net motion dx=55.0, dy=-138.4; flags: none"
N1357781886,T0049,1357781886-0069,0.6585,3,4,co-iss-n1357781886,1357781886,2001-01-10T01:25:14.316,525.84,94.28,11.37,3,0.00,3,11.37,8.67,26.02,1.31,4.39,,"3 frame(s); median area 4.0 px; net motion dx=55.0, dy=-138.4; flags: none"
N1357782246,T0049,1357782246-0011,0.6585,3,5,co-iss-n1357782246,1357782246,2001-01-10T01:31:14.314,541.50,16.50,9.61,4,0.00,4,9.61,9.61,38.44,1.00,1.00,,"3 frame(s); median area 4.0 px; net motion dx=55.0, dy=-138.4; flags: none"
N1357806108,T0282,1357806108-0146,0.6538,3,18,co-iss-n1357806108,1357806108,2001-01-10T08:08:56.148,375.32,191.34,8.17,3,0.00,3,8.17,8.01,24.04,1.02,1.73,,"3 frame(s); median area 4.0 px; net motion dx=102.2, dy=-88.7; flags: none"
N1357806498,T0282,1357806498-0126,0.6538,3,19,co-iss-n1357806498,1357806498,2001-01-10T08:15:26.146,455.80,169.17,10.55,10,0.00,10,10.55,10.22,102.19,1.03,4.81,,"3 frame(s); median area 4.0 px; net motion dx=102.2, dy=-88.7; flags: none"
N1357806858,T0282,1357806858-0100,0.6538,3,20,co-iss-n1357806858,1357806858,2001-01-10T08:21:26.143,477.50,102.66,18.12,4,0.00,4,18.12,13.04,52.18,1.39,1.00,,"3 frame(s); median area 4.0 px; net motion dx=102.2, dy=-88.7; flags: none"
N1357810580,T0347,1357810580-0129,0.6403,3,21,co-iss-n1357810580,1357810580,2001-01-10T09:23:28.118,598.33,151.33,8.33,3,0.00,3,8.33,8.33,24.99,1.00,1.73,,"3 frame(s); median area 3.0 px; net motion dx=-48.8, dy=-23.6; flags: none"
N1357810970,T0347,1357810970-0072,0.6403,3,22,co-iss-n1357810970,1357810970,2001-01-10T09:29:58.115,593.33,108.67,11.01,3,0.00,3,11.01,11.01,33.04,1.00,1.73,,"3 frame(s); median area 3.0 px; net motion dx=-48.8, dy=-23.6; flags: none"
N1357811330,T0347,1357811330-0088,0.6403,3,23,co-iss-n1357811330,1357811330,2001-01-10T09:35:58.112,549.54,127.77,28.79,3,0.00,3,28.79,17.63,52.88,1.63,1.73,,"3 frame(s); median area 3.0 px; net motion dx=-48.8, dy=-23.6; flags: none"
N1357781496,T0046,1357781496-0101,0.6389,3,3,co-iss-n1357781496,1357781496,2001-01-10T01:18:44.319,767.55,114.22,8.80,9,0.00,9,8.80,8.63,77.71,1.02,2.71,,"3 frame(s); median area 3.0 px; net motion dx=-2.9, dy=-35.9; flags: none"
