image_id,track_id,candidate_id,confidence,track_length,frame_index,opus_id,image_number,time,x,y,brightness,blob_size,artifact_score,area_px,peak_snr,mean_snr,integrated_snr,sharpness,elongation,flags,reason
N1357037371,T0635,1357037371-0019,0.8013,3,17,co-iss-n1357037371,1357037371,2001-01-01T10:37:20.472,680.24,43.28,19.31,3,0.00,3,19.31,13.64,40.92,1.42,1.73,,"3 frame(s); median area 9.0 px; net motion dx=-42.2, dy=54.2; flags: none"
N1357037761,T0635,1357037761-0002,0.8013,3,18,co-iss-n1357037761,1357037761,2001-01-01T10:43:50.469,639.14,17.59,61.57,15,0.00,15,61.57,33.16,497.40,1.86,4.94,,"3 frame(s); median area 9.0 px; net motion dx=-42.2, dy=54.2; flags: none"
N1357038121,T0635,1357038121-0090,0.8013,3,19,co-iss-n1357038121,1357038121,2001-01-01T10:49:50.467,638.03,97.50,32.52,9,0.00,9,32.52,23.14,208.22,1.41,1.39,,"3 frame(s); median area 9.0 px; net motion dx=-42.2, dy=54.2; flags: none"
N1357019483,T0209,1357019483-0070,0.7946,3,5,co-iss-n1357019483,1357019483,2001-01-01T05:39:12.596,440.63,189.61,30.17,4,0.00,4,30.17,20.36,81.43,1.48,2.45,,"3 frame(s); median area 7.0 px; net motion dx=-109.6, dy=-42.5; flags: none"
N1357019873,T0209,1357019873-0065,0.7946,3,6,co-iss-n1357019873,1357019873,2001-01-01T05:45:42.593,368.48,182.13,21.54,7,0.00,7,21.54,15.26,106.85,1.41,3.58,,"3 frame(s); median area 7.0 px; net motion dx=-109.6, dy=-42.5; flags: none"
N1357020233,T0209,1357020233-0112,0.7946,3,7,co-iss-n1357020233,1357020233,2001-01-01T05:51:42.591,330.98,147.15,44.48,8,0.00,8,44.48,26.03,208.23,1.71,4.37,,"3 frame(s); median area 7.0 px; net motion dx=-109.6, dy=-42.5; flags: none"
N1357028427,T0466,1357028427-0309,0.7925,3,11,co-iss-n1357028427,1357028427,2001-01-01T08:08:16.534,118.94,753.66,23.74,6,0.00,6,23.74,15.64,93.86,1.52,2.64,,"3 frame(s); median area 6.0 px; net motion dx=-2.7, dy=-7.4; flags: none"
N1357028817,T0466,1357028817-0298,0.7925,3,12,co-iss-n1357028817,1357028817,2001-01-01T08:14:46.531,131.47,736.88,35.31,18,0.00,18,35.31,17.89,321.94,1.97,1.98,,"3 frame(s); median area 6.0 px; net motion dx=-2.7, dy=-7.4; flags: none"
N1357029177,T0466,1357029177-0353,0.7925,3,13,co-iss-n1357029177,1357029177,2001-01-01T08:20:46.529,116.27,746.22,35.56,6,0.00,6,35.56,22.41,134.46,1.59,3.60,,"3 frame(s); median area 6.0 px; net motion dx=-2.7, dy=-7.4; flags: none"
N1357019483,T0237,1357019483-0292,0.7638,3,5,co-iss-n1357019483,1357019483,2001-01-01T05:39:12.596,355.93,736.07,34.67,4,0.00,4,34.67,28.06,112.25,1.24,2.45,,"3 frame(s); median area 5.0 px; net motion dx=9.4, dy=-56.2; flags: none"
N1357019873,T0237,1357019873-0231,0.7638,3,6,co-iss-n1357019873,1357019873,2001-01-01T05:45:42.593,319.23,691.70,27.80,5,0.00,5,27.80,15.67,78.35,1.77,3.95,,"3 frame(s); median area 5.0 px; net motion dx=9.4, dy=-56.2; flags: none"
N1357020233,T0237,1357020233-0311,0.7638,3,7,co-iss-n1357020233,1357020233,2001-01-01T05:51:42.591,365.35,679.83,28.28,6,0.00,6,28.28,18.63,111.76,1.52,3.60,,"3 frame(s); median area 5.0 px; net motion dx=9.4, dy=-56.2; flags: none"
N1357019483,T0216,1357019483-0134,0.7620,3,5,co-iss-n1357019483,1357019483,2001-01-01T05:39:12.596,686.90,351.95,31.45,7,0.00,7,31.45,23.45,164.16,1.34,1.73,,"3 frame(s); median area 5.0 px; net motion dx=-57.6, dy=-116.3; flags: none"
N1357019873,T0216,1357019873-0093,0.7620,3,6,co-iss-n1357019873,1357019873,2001-01-01T05:45:42.593,680.32,273.93,35.35,5,0.00,5,35.35,22.10,110.49,1.60,1.73,,"3 frame(s); median area 5.0 px; net motion dx=-57.6, dy=-116.3; flags: none"
N1357020233,T0216,1357020233-0140,0.7620,3,7,co-iss-n1357020233,1357020233,2001-01-01T05:51:42.591,629.31,235.65,32.19,4,0.00,4,32.19,16.23,64.91,1.98,1.00,,"3 frame(s); median area 5.0 px; net motion dx=-57.6, dy=-116.3; flags: none"
N1357032899,T0577,1357032899-0316,0.7618,3,14,co-iss-n1357032899,1357032899,2001-01-01T09:22:48.503,402.47,871.63,32.04,5,0.00,5,32.04,17.46,87.31,1.83,1.73,,"3 frame(s); median area 5.0 px; net motion dx=-23.2, dy=-5.1; flags: none"
N1357033289,T0577,1357033289-0341,0.7618,3,15,co-iss-n1357033289,1357033289,2001-01-01T09:29:18.500,339.21,913.36,41.41,5,0.00,5,41.41,23.28,116.38,1.78,1.73,,"3 frame(s); median area 5.0 px; net motion dx=-23.2, dy=-5.1; flags: none"
N1357033649,T0577,1357033649-0362,0.7618,3,16,co-iss-n1357033649,1357033649,2001-01-01T09:35:18.498,379.24,866.49,24.09,3,0.00,3,24.09,15.77,47.32,1.53,1.73,,"3 frame(s); median area 5.0 px; net motion dx=-23.2, dy=-5.1; flags: none"
N1357023955,T0363,1357023955-0334,0.7586,3,8,co-iss-n1357023955,1357023955,2001-01-01T06:53:44.565,286.58,914.83,28.80,3,0.00,3,28.80,16.41,49.23,1.75,1.73,,"3 frame(s); median area 4.0 px; net motion dx=-61.1, dy=-59.7; flags: none"
N1357024345,T0363,1357024345-0308,0.7586,3,9,co-iss-n1357024345,1357024345,2001-01-01T07:00:14.562,261.68,878.22,20.17,6,0.00,6,20.17,16.33,97.96,1.24,4.84,,"3 frame(s); median area 4.0 px; net motion dx=-61.1, dy=-59.7; flags: none"
N1357024705,T0363,1357024705-0382,0.7586,3,10,co-iss-n1357024705,1357024705,2001-01-01T07:06:14.560,225.49,855.16,44.45,4,0.00,4,44.45,26.48,105.92,1.68,1.00,,"3 frame(s); median area 4.0 px; net motion dx=-61.1, dy=-59.7; flags: none"
N1357028427,T0469,1357028427-0334,0.7550,3,11,co-iss-n1357028427,1357028427,2001-01-01T08:08:16.534,663.97,815.58,25.46,7,0.00,7,25.46,21.05,147.35,1.21,2.18,,"3 frame(s); median area 7.0 px; net motion dx=-50.8, dy=-14.9; flags: none"
