image_id,track_id,candidate_id,confidence,track_length,frame_index,opus_id,image_number,time,x,y,brightness,blob_size,artifact_score,area_px,peak_snr,mean_snr,integrated_snr,sharpness,elongation,flags,reason
N1356990399,T0353,1356990399-0202,0.7672,3,9,co-iss-n1356990399,1356990399,2000-12-31T21:34:28.797,402.62,656.20,41.20,5,0.00,5,41.20,22.20,111.01,1.86,1.67,,"3 frame(s); median area 5.0 px; net motion dx=21.4, dy=-75.8; flags: none"
N1356990789,T0353,1356990789-0232,0.7672,3,10,co-iss-n1356990789,1356990789,2000-12-31T21:40:58.795,410.83,620.92,56.60,8,0.00,8,56.60,27.37,218.95,2.07,2.21,,"3 frame(s); median area 5.0 px; net motion dx=21.4, dy=-75.8; flags: none"
N1356991149,T0353,1356991149-0338,0.7672,3,11,co-iss-n1356991149,1356991149,2000-12-31T21:46:58.792,423.99,580.36,12.42,3,0.00,3,12.42,11.31,33.94,1.10,4.39,,"3 frame(s); median area 5.0 px; net motion dx=21.4, dy=-75.8; flags: none"
N1356976983,T0019,1356976983-0161,0.7556,3,0,co-iss-n1356976983,1356976983,2000-12-31T17:50:52.890,62.82,480.68,31.42,4,0.00,4,31.42,23.59,94.36,1.33,2.45,,"3 frame(s); median area 4.0 px; net motion dx=18.5, dy=-18.9; flags: none"
N1356977373,T0019,1356977373-0159,0.7556,3,1,co-iss-n1356977373,1356977373,2000-12-31T17:57:22.887,93.79,489.64,53.41,4,0.00,4,53.41,26.57,106.30,2.01,1.00,,"3 frame(s); median area 4.0 px; net motion dx=18.5, dy=-18.9; flags: none"
N1356977733,T0019,1356977733-0232,0.7556,3,2,co-iss-n1356977733,1356977733,2000-12-31T18:03:22.885,81.33,461.79,76.40,6,0.00,6,76.40,34.59,207.51,2.21,1.63,,"3 frame(s); median area 4.0 px; net motion dx=18.5, dy=-18.9; flags: none"
N1356990399,T0339,1356990399-0080,0.7438,3,9,co-iss-n1356990399,1356990399,2000-12-31T21:34:28.797,900.63,316.07,30.93,6,0.00,6,30.93,20.56,123.35,1.50,3.78,,"3 frame(s); median area 4.0 px; net motion dx=26.5, dy=116.0; flags: none"
N1356990789,T0339,1356990789-0121,0.7438,3,10,co-iss-n1356990789,1356990789,2000-12-31T21:40:58.795,872.48,376.77,19.16,4,0.00,4,19.16,11.88,47.51,1.61,3.60,,"3 frame(s); median area 4.0 px; net motion dx=26.5, dy=116.0; flags: none"
N1356991149,T0339,1356991149-0267,0.7438,3,11,co-iss-n1356991149,1356991149,2000-12-31T21:46:58.792,927.08,432.09,41.96,4,0.00,4,41.96,20.09,80.36,2.09,2.45,,"3 frame(s); median area 4.0 px; net motion dx=26.5, dy=116.0; flags: none"
N1356985927,T0231,1356985927-0141,0.7429,3,6,co-iss-n1356985927,1356985927,2000-12-31T20:19:56.828,730.33,432.12,36.45,4,0.00,4,36.45,21.37,85.49,1.71,2.45,,"3 frame(s); median area 4.0 px; net motion dx=-9.7, dy=-118.4; flags: none"
N1356986317,T0231,1356986317-0132,0.7429,3,7,co-iss-n1356986317,1356986317,2000-12-31T20:26:26.826,728.91,377.32,42.05,8,0.00,8,42.05,18.50,147.98,2.27,3.67,,"3 frame(s); median area 4.0 px; net motion dx=-9.7, dy=-118.4; flags: none"
N1356986677,T0231,1356986677-0182,0.7429,3,8,co-iss-n1356986677,1356986677,2000-12-31T20:32:26.823,720.68,313.71,10.70,3,0.00,3,10.70,9.17,27.50,1.17,1.73,,"3 frame(s); median area 4.0 px; net motion dx=-9.7, dy=-118.4; flags: none"
N1356985927,T0254,1356985927-0245,0.7424,3,6,co-iss-n1356985927,1356985927,2000-12-31T20:19:56.828,612.58,709.56,23.17,4,0.00,4,23.17,15.17,60.67,1.53,1.00,,"3 frame(s); median area 4.0 px; net motion dx=18.9, dy=105.2; flags: none"
N1356986317,T0254,1356986317-0288,0.7424,3,7,co-iss-n1356986317,1356986317,2000-12-31T20:26:26.826,602.07,770.82,25.45,4,0.00,4,25.45,13.27,53.07,1.92,4.47,,"3 frame(s); median area 4.0 px; net motion dx=18.9, dy=105.2; flags: none"
N1356986677,T0254,1356986677-0371,0.7424,3,8,co-iss-n1356986677,1356986677,2000-12-31T20:32:26.823,631.51,814.78,44.14,4,0.00,4,44.14,26.80,107.19,1.65,1.00,,"3 frame(s); median area 4.0 px; net motion dx=18.9, dy=105.2; flags: none"
N1356985927,T0234,1356985927-0162,0.7383,3,6,co-iss-n1356985927,1356985927,2000-12-31T20:19:56.828,835.23,498.82,24.92,3,0.00,3,24.92,14.11,42.32,1.77,1.73,,"3 frame(s); median area 4.0 px; net motion dx=46.2, dy=-84.3; flags: none"
N1356986317,T0234,1356986317-0169,0.7383,3,7,co-iss-n1356986317,1356986317,2000-12-31T20:26:26.826,886.59,468.33,15.23,4,0.00,4,15.23,11.45,45.81,1.33,5.83,,"3 frame(s); median area 4.0 px; net motion dx=46.2, dy=-84.3; flags: none"
N1356986677,T0234,1356986677-0216,0.7383,3,8,co-iss-n1356986677,1356986677,2000-12-31T20:32:26.823,881.47,414.51,23.03,18,0.00,18,23.03,14.30,257.47,1.61,1.79,,"3 frame(s); median area 4.0 px; net motion dx=46.2, dy=-84.3; flags: none"
N1356990399,T0328,1356990399-0013,0.7344,3,9,co-iss-n1356990399,1356990399,2000-12-31T21:34:28.797,626.28,57.49,31.06,3,0.00,3,31.06,21.15,63.45,1.47,1.73,,"3 frame(s); median area 4.0 px; net motion dx=-36.0, dy=31.6; flags: none"
N1356990789,T0328,1356990789-0043,0.7344,3,10,co-iss-n1356990789,1356990789,2000-12-31T21:40:58.795,632.42,140.74,31.12,4,0.00,4,31.12,17.09,68.38,1.82,1.00,,"3 frame(s); median area 4.0 px; net motion dx=-36.0, dy=31.6; flags: none"
N1356991149,T0328,1356991149-0120,0.7344,3,11,co-iss-n1356991149,1356991149,2000-12-31T21:46:58.792,590.29,89.13,69.56,11,0.00,11,69.56,31.84,350.23,2.18,2.76,,"3 frame(s); median area 4.0 px; net motion dx=-36.0, dy=31.6; flags: none"
N1356985927,T0228,1356985927-0123,0.7323,3,6,co-iss-n1356985927,1356985927,2000-12-31T20:19:56.828,515.70,403.81,42.51,4,0.00,4,42.51,28.88,115.50,1.47,1.63,,"3 frame(s); median area 4.0 px; net motion dx=84.1, dy=-116.0; flags: none"
N1356986317,T0228,1356986317-0120,0.7323,3,7,co-iss-n1356986317,1356986317,2000-12-31T20:26:26.826,552.28,330.80,15.76,4,0.00,4,15.76,12.55,50.20,1.26,4.47,,"3 frame(s); median area 4.0 px; net motion dx=84.1, dy=-116.0; flags: none"
N1356986677,T0228,1356986677-0174,0.7323,3,8,co-iss-n1356986677,1356986677,2000-12-31T20:32:26.823,599.81,287.84,81.18,3,0.00,3,81.18,41.55,124.65,1.95,1.73,,"3 frame(s); median area 4.0 px; net motion dx=84.1, dy=-116.0; flags: none"
