image_id,track_id,candidate_id,confidence,track_length,frame_index,opus_id,image_number,time,x,y,brightness,blob_size,artifact_score,area_px,peak_snr,mean_snr,integrated_snr,sharpness,elongation,flags,reason
N1357772552,T0279,1357772552-0087,0.6833,3,8,co-iss-n1357772552,1357772552,2001-01-09T22:49:40.381,770.67,127.00,8.32,3,0.00,3,8.32,8.29,24.86,1.00,4.39,,"3 frame(s); median area 5.0 px; net motion dx=-14.1, dy=-15.9; flags: none"
N1357772942,T0279,1357772942-0120,0.6833,3,9,co-iss-n1357772942,1357772942,2001-01-09T22:56:10.378,730.60,153.20,10.03,5,0.00,5,10.03,10.03,50.16,1.00,1.73,,"3 frame(s); median area 5.0 px; net motion dx=-14.1, dy=-15.9; flags: none"
N1357773302,T0279,1357773302-0077,0.6833,3,10,co-iss-n1357773302,1357773302,2001-01-09T23:02:10.376,756.53,111.09,8.28,8,0.15,8,8.28,8.09,64.72,1.02,6.76,,"3 frame(s); median area 5.0 px; net motion dx=-14.1, dy=-15.9; flags: none"
N1357763608,T0157,1357763608-0095,0.6764,3,2,co-iss-n1357763608,1357763608,2001-01-09T20:20:36.443,258.96,98.49,9.73,4,0.00,4,9.73,8.86,35.43,1.10,2.62,,"3 frame(s); median area 4.0 px; net motion dx=-3.7, dy=37.7; flags: none"
N1357763998,T0157,1357763998-0064,0.6764,3,3,co-iss-n1357763998,1357763998,2001-01-09T20:27:06.440,190.61,99.22,12.45,3,0.00,3,12.45,10.66,31.99,1.17,1.73,,"3 frame(s); median area 4.0 px; net motion dx=-3.7, dy=37.7; flags: none"
N1357764358,T0157,1357764358-0086,0.6764,3,4,co-iss-n1357764358,1357764358,2001-01-09T20:33:06.438,255.30,136.24,62.72,4,0.00,4,62.72,29.55,118.20,2.12,1.00,,"3 frame(s); median area 4.0 px; net motion dx=-3.7, dy=37.7; flags: none"
N1357763608,T0152,1357763608-0054,0.6694,3,2,co-iss-n1357763608,1357763608,2001-01-09T20:20:36.443,213.50,70.99,10.23,4,0.00,4,10.23,10.14,40.58,1.01,2.62,,"3 frame(s); median area 4.0 px; net motion dx=2.3, dy=-53.3; flags: none"
N1357763998,T0152,1357763998-0013,0.6694,3,3,co-iss-n1357763998,1357763998,2001-01-09T20:27:06.440,154.33,26.67,13.12,3,0.00,3,13.12,13.12,39.35,1.00,1.73,,"3 frame(s); median area 4.0 px; net motion dx=2.3, dy=-53.3; flags: none"
N1357764358,T0152,1357764358-0008,0.6694,3,4,co-iss-n1357764358,1357764358,2001-01-09T20:33:06.438,215.76,17.70,73.25,4,0.00,4,73.25,34.39,137.55,2.13,1.00,,"3 frame(s); median area 4.0 px; net motion dx=2.3, dy=-53.3; flags: none"
N1357772552,T0274,1357772552-0047,0.6624,3,8,co-iss-n1357772552,1357772552,2001-01-09T22:49:40.381,441.50,71.50,9.83,4,0.00,4,9.83,9.83,39.33,1.00,1.00,,"3 frame(s); median area 4.0 px; net motion dx=-90.0, dy=14.0; flags: none"
N1357772942,T0274,1357772942-0017,0.6624,3,9,co-iss-n1357772942,1357772942,2001-01-09T22:56:10.378,384.04,27.74,12.85,3,0.00,3,12.85,9.92,29.77,1.30,4.39,,"3 frame(s); median area 4.0 px; net motion dx=-90.0, dy=14.0; flags: none"
