image_id,track_id,candidate_id,confidence,track_length,frame_index,opus_id,image_number,time,x,y,brightness,blob_size,artifact_score,area_px,peak_snr,mean_snr,integrated_snr,sharpness,elongation,flags,reason
N1357900665,T0279,1357900665-0027,0.7248,3,22,co-iss-n1357900665,1357900665,2001-01-11T10:24:52.494,85.67,45.00,10.57,3,0.00,3,10.57,10.53,31.58,1.00,4.39,,"3 frame(s); median area 6.0 px; net motion dx=-27.3, dy=39.2; flags: none"
N1357901055,T0279,1357901055-0021,0.7248,3,23,co-iss-n1357901055,1357901055,2001-01-11T10:31:22.491,26.74,34.02,13.60,15,0.00,15,13.60,12.46,186.93,1.09,1.96,,"3 frame(s); median area 6.0 px; net motion dx=-27.3, dy=39.2; flags: none"
N1357901415,T0279,1357901415-0050,0.7248,3,24,co-iss-n1357901415,1357901415,2001-01-11T10:37:22.488,58.36,84.17,10.61,6,0.00,6,10.61,10.40,62.39,1.02,1.15,,"3 frame(s); median area 6.0 px; net motion dx=-27.3, dy=39.2; flags: none"
N1357889469,T0194,1357889469-0015,0.7090,3,16,co-iss-n1357889469,1357889469,2001-01-11T07:18:16.571,174.86,31.46,10.32,6,0.00,6,10.32,9.05,54.30,1.14,2.18,,"3 frame(s); median area 6.0 px; net motion dx=-13.4, dy=36.0; flags: none"
N1357889859,T0194,1357889859-0034,0.7090,3,17,co-iss-n1357889859,1357889859,2001-01-11T07:24:46.569,215.25,57.62,13.06,3,0.00,3,13.06,11.57,34.72,1.13,1.73,,"3 frame(s); median area 6.0 px; net motion dx=-13.4, dy=36.0; flags: none"
N1357890219,T0194,1357890219-0039,0.7090,3,18,co-iss-n1357890219,1357890219,2001-01-11T07:30:46.566,161.46,67.47,10.41,8,0.00,8,10.41,9.85,78.79,1.06,2.24,,"3 frame(s); median area 6.0 px; net motion dx=-13.4, dy=36.0; flags: none"
N1357909609,T0353,1357909609-0040,0.7021,3,28,co-iss-n1357909609,1357909609,2001-01-11T12:53:56.432,244.76,53.69,10.35,7,0.00,7,10.35,10.04,70.28,1.03,2.00,,"3 frame(s); median area 5.0 px; net motion dx=-57.5, dy=-8.0; flags: none"
N1357909999,T0353,1357909999-0088,0.7021,3,29,co-iss-n1357909999,1357909999,2001-01-11T13:00:26.429,207.47,109.79,31.98,5,0.00,5,31.98,17.53,87.63,1.82,5.83,,"3 frame(s); median area 5.0 px; net motion dx=-57.5, dy=-8.0; flags: none"
N1357910359,T0353,1357910359-0029,0.7021,3,30,co-iss-n1357910359,1357910359,2001-01-11T13:06:26.427,187.27,45.66,10.80,3,0.00,3,10.80,9.35,28.04,1.16,1.73,,"3 frame(s); median area 5.0 px; net motion dx=-57.5, dy=-8.0; flags: none"
N1357909609,T0348,1357909609-0001,0.6664,3,28,co-iss-n1357909609,1357909609,2001-01-11T12:53:56.432,715.94,4.71,9.44,3,0.00,3,9.44,8.59,25.78,1.10,4.39,,"3 frame(s); median area 5.0 px; net motion dx=-27.1, dy=79.9; flags: none"
N1357909999,T0348,1357909999-0029,0.6664,3,29,co-iss-n1357909999,1357909999,2001-01-11T13:00:26.429,656.26,39.82,80.82,6,0.00,6,80.82,36.50,219.00,2.21,1.63,,"3 frame(s); median area 5.0 px; net motion dx=-27.1, dy=79.9; flags: none"
N1357910359,T0348,1357910359-0063,0.6664,3,30,co-iss-n1357910359,1357910359,2001-01-11T13:06:26.427,688.83,84.62,9.02,5,0.00,5,9.02,8.70,43.49,1.04,1.73,,"3 frame(s); median area 5.0 px; net motion dx=-27.1, dy=79.9; flags: none"
N1357889469,T0193,1357889469-0014,0.6644,3,16,co-iss-n1357889469,1357889469,2001-01-11T07:18:16.571,451.52,30.03,10.19,4,0.00,4,10.19,9.85,39.39,1.03,2.62,,"3 frame(s); median area 4.0 px; net motion dx=-21.8, dy=9.8; flags: none"
