session_id,session_order,session_row,review_batch,candidate_id,image_id,run_date,x,y,crop_url,suggested_human_label,reviewer_task,snr,blob_size,artifact_flags,frame_count,motion_consistency,candidate_score,review_note_prompt,human_label,confidence,reviewer,review_note,review_stage,needs_second_review,reviewed_at
S004_02_temporal_persistence_check,4,1,02_temporal_persistence_check,1356976983-0402,N1356976983,2000-12-31,713.50,944.42,/api/detection-crop?image=1356976983&x=714&y=944&crop=128,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,8.78,13,,3,0.984,0.6862,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.,,,,,first-review,,
S004_02_temporal_persistence_check,4,2,02_temporal_persistence_check,1356985927-0074,N1356985927,2000-12-31,905.42,252.21,/api/detection-crop?image=1356985927&x=905&y=252&crop=128,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,35.64,3,,3,0.779,0.6822,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.,,,,,first-review,,
S004_02_temporal_persistence_check,4,3,02_temporal_persistence_check,1356985927-0055,N1356985927,2000-12-31,451.71,196.90,/api/detection-crop?image=1356985927&x=452&y=197&crop=128,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,44.99,3,,3,0.776,0.6815,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.,,,,,first-review,,
S004_02_temporal_persistence_check,4,4,02_temporal_persistence_check,1356990399-0348,N1356990399,2000-12-31,734.98,945.68,/api/detection-crop?image=1356990399&x=735&y=946&crop=128,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,8.34,3,,3,0.685,0.7089,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.,,,,,first-review,,
S004_02_temporal_persistence_check,4,5,02_temporal_persistence_check,1356990399-0279,N1356990399,2000-12-31,859.48,919.10,/api/detection-crop?image=1356990399&x=859&y=919&crop=128,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,16.78,6,,3,0.744,0.6985,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.,,,,,first-review,,
S004_02_temporal_persistence_check,4,6,02_temporal_persistence_check,1356985927-0189,N1356985927,2000-12-31,752.72,567.15,/api/detection-crop?image=1356985927&x=753&y=567&crop=128,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,33.22,9,,3,0.412,0.6904,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.,,,,,first-review,,
S004_02_temporal_persistence_check,4,7,02_temporal_persistence_check,1356985927-0173,N1356985927,2000-12-31,180.25,527.56,/api/detection-crop?image=1356985927&x=180&y=528&crop=128,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,12.51,3,,3,0.671,0.6868,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.,,,,,first-review,,
S004_02_temporal_persistence_check,4,8,02_temporal_persistence_check,1356976983-0095,N1356976983,2000-12-31,389.49,311.88,/api/detection-crop?image=1356976983&x=389&y=312&crop=128,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,19.69,4,,3,0.739,0.6753,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.,,,,,first-review,,
S004_02_temporal_persistence_check,4,9,02_temporal_persistence_check,1356985927-0198,N1356985927,2000-12-31,433.66,575.91,/api/detection-crop?image=1356985927&x=434&y=576&crop=128,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,41.70,3,,3,0.744,0.6735,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.,,,,,first-review,,
S004_02_temporal_persistence_check,4,10,02_temporal_persistence_check,1356976983-0286,N1356976983,2000-12-31,349.71,798.22,/api/detection-crop?image=1356976983&x=350&y=798&crop=128,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,44.32,5,,3,0.725,0.6687,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.,,,,,first-review,,
