session_id,session_order,session_row,review_batch,candidate_id,image_id,run_date,x,y,crop_url,suggested_human_label,reviewer_task,snr,blob_size,artifact_flags,frame_count,motion_consistency,candidate_score,review_note_prompt,human_label,confidence,reviewer,review_note,review_stage,needs_second_review,reviewed_at
S008_04_strong_single_frame_check,8,1,04_strong_single_frame_check,1357352003-0194,N1357352003,2001-01-05,380.15,543.48,/api/detection-crop?image=1357352003&x=380&y=543&crop=128,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,164.61,8,,1,1.000,0.4375,Record whether it looks diffuse/multi-pixel or too isolated to trust.,,,,,first-review,,
S008_04_strong_single_frame_check,8,2,04_strong_single_frame_check,1357637415-0069,N1357637415,2001-01-08,95.74,471.57,/api/detection-crop?image=1357637415&x=96&y=472&crop=128,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,284.94,7,,1,1.000,0.4125,Record whether it looks diffuse/multi-pixel or too isolated to trust.,,,,,first-review,,
S008_04_strong_single_frame_check,8,3,04_strong_single_frame_check,1357665093-0016,N1357665093,2001-01-08,807.46,164.30,/api/detection-crop?image=1357665093&x=807&y=164&crop=128,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,395.79,6,,1,1.000,0.3875,Record whether it looks diffuse/multi-pixel or too isolated to trust.,,,,,first-review,,
S008_04_strong_single_frame_check,8,4,04_strong_single_frame_check,1357685285-0112,N1357685285,2001-01-08,474.82,382.50,/api/detection-crop?image=1357685285&x=475&y=382&crop=128,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,379.47,6,,1,1.000,0.3875,Record whether it looks diffuse/multi-pixel or too isolated to trust.,,,,,first-review,,
S008_04_strong_single_frame_check,8,5,04_strong_single_frame_check,1357682416-0008,N1357682416,2001-01-08,428.07,73.69,/api/detection-crop?image=1357682416&x=428&y=74&crop=128,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,317.53,6,,1,1.000,0.3875,Record whether it looks diffuse/multi-pixel or too isolated to trust.,,,,,first-review,,
S008_04_strong_single_frame_check,8,6,04_strong_single_frame_check,1357685285-0093,N1357685285,2001-01-08,504.70,306.29,/api/detection-crop?image=1357685285&x=505&y=306&crop=128,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,162.69,6,,1,1.000,0.3875,Record whether it looks diffuse/multi-pixel or too isolated to trust.,,,,,first-review,,
S008_04_strong_single_frame_check,8,7,04_strong_single_frame_check,1357352003-0192,N1357352003,2001-01-05,823.83,535.84,/api/detection-crop?image=1357352003&x=824&y=536&crop=128,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,564.80,5,,1,1.000,0.3625,Record whether it looks diffuse/multi-pixel or too isolated to trust.,,,,,first-review,,
S008_04_strong_single_frame_check,8,8,04_strong_single_frame_check,1357667116-1600,N1357667116,2001-01-08,367.96,1009.04,/api/detection-crop?image=1357667116&x=368&y=1009&crop=128,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,402.78,5,,1,1.000,0.3625,Record whether it looks diffuse/multi-pixel or too isolated to trust.,,,,,first-review,,
S008_04_strong_single_frame_check,8,9,04_strong_single_frame_check,1357674094-0052,N1357674094,2001-01-08,316.82,479.90,/api/detection-crop?image=1357674094&x=317&y=480&crop=128,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,203.84,5,,1,1.000,0.3625,Record whether it looks diffuse/multi-pixel or too isolated to trust.,,,,,first-review,,
S008_04_strong_single_frame_check,8,10,04_strong_single_frame_check,1357638093-0061,N1357638093,2001-01-08,717.61,548.63,/api/detection-crop?image=1357638093&x=718&y=549&crop=128,uncertain,Inspect the crop and original frame; single-frame candidates need caution.,173.37,5,,1,1.000,0.3625,Record whether it looks diffuse/multi-pixel or too isolated to trust.,,,,,first-review,,
