session_id,session_order,session_row,review_batch,candidate_id,image_id,run_date,x,y,crop_url,suggested_human_label,reviewer_task,snr,blob_size,artifact_flags,frame_count,motion_consistency,candidate_score,review_note_prompt,human_label,confidence,reviewer,review_note,review_stage,needs_second_review,reviewed_at
S003_02_temporal_persistence_check,3,1,02_temporal_persistence_check,1356990399-0193,N1356990399,2000-12-31,744.43,625.61,/api/detection-crop?image=1356990399&x=744&y=626&crop=128,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,30.54,5,,3,0.757,0.7268,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.,,,,,first-review,,
S003_02_temporal_persistence_check,3,2,02_temporal_persistence_check,1356990399-0086,N1356990399,2000-12-31,647.43,332.24,/api/detection-crop?image=1356990399&x=647&y=332&crop=128,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,18.02,3,,3,0.826,0.7190,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.,,,,,first-review,,
S003_02_temporal_persistence_check,3,3,02_temporal_persistence_check,1356990399-0056,N1356990399,2000-12-31,218.44,234.51,/api/detection-crop?image=1356990399&x=218&y=235&crop=128,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,46.05,4,,3,0.840,0.7166,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.,,,,,first-review,,
S003_02_temporal_persistence_check,3,4,02_temporal_persistence_check,1356985927-0197,N1356985927,2000-12-31,116.23,575.74,/api/detection-crop?image=1356985927&x=116&y=576&crop=128,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,47.55,5,,3,0.914,0.7160,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.,,,,,first-review,,
S003_02_temporal_persistence_check,3,5,02_temporal_persistence_check,1356985927-0308,N1356985927,2000-12-31,922.55,771.33,/api/detection-crop?image=1356985927&x=923&y=771&crop=128,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,16.06,3,,3,0.789,0.7097,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.,,,,,first-review,,
S003_02_temporal_persistence_check,3,6,02_temporal_persistence_check,1356990399-0263,N1356990399,2000-12-31,382.48,864.12,/api/detection-crop?image=1356990399&x=382&y=864&crop=128,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,43.14,3,,3,0.857,0.7018,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.,,,,,first-review,,
S003_02_temporal_persistence_check,3,7,02_temporal_persistence_check,1356981455-0275,N1356981455,2000-12-31,343.62,791.13,/api/detection-crop?image=1356981455&x=344&y=791&crop=128,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,38.33,10,,3,0.781,0.6962,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.,,,,,first-review,,
S003_02_temporal_persistence_check,3,8,02_temporal_persistence_check,1356981455-0109,N1356981455,2000-12-31,909.59,321.38,/api/detection-crop?image=1356981455&x=910&y=321&crop=128,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,14.01,3,,3,0.994,0.6950,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.,,,,,first-review,,
S003_02_temporal_persistence_check,3,9,02_temporal_persistence_check,1356985927-0012,N1356985927,2000-12-31,493.50,54.00,/api/detection-crop?image=1356985927&x=494&y=54&crop=128,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,11.67,4,,3,0.981,0.6917,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.,,,,,first-review,,
S003_02_temporal_persistence_check,3,10,02_temporal_persistence_check,1356985927-0354,N1356985927,2000-12-31,558.34,822.42,/api/detection-crop?image=1356985927&x=558&y=822&crop=128,uncertain,Check whether the bright region repeats across neighboring frames with plausible motion.,14.54,5,,3,0.847,0.6866,Record which neighboring frames show the candidate and whether motion looks consistent or suspicious.,,,,,first-review,,
